customer_id,churn_prediction,churn_probability
767114958,0,0.0
708123033,0,1e-04
715424283,0,0.0002
717865008,0,0.0
710188308,0,0.0003
716574033,0,0.0
713183508,0,0.0
718583133,0,0.0002
783554958,0,0.0
714418158,0,0.0
710061783,1,0.9999
716225433,0,1e-04
788327358,0,0.0
714847983,0,0.0
720031908,0,0.0
713700258,0,0.0
721265883,0,0.0009
715321008,1,0.9999
717831783,0,1e-04
711480108,0,1e-04
797638383,0,0.0
709950858,0,0.0
717060858,1,1.0
716045508,0,0.0004
787482033,1,0.9993
719601708,0,0.0
717683583,0,0.0
813905508,0,0.0
769985883,0,0.2879
718927533,0,0.0002
784868958,0,0.0
787539333,0,0.0
789871233,0,0.0
826061508,0,1e-04
716354883,1,1.0
717678408,0,0.0
715341858,0,1e-04
713003358,1,1.0
713374533,0,1e-04
709985133,0,0.0004
771204108,0,0.0
713758758,0,0.0
709453833,0,0.0
713227233,0,0.0
714967233,1,0.9829
714358008,0,1e-04
779514558,0,1e-04
794498733,0,0.0
793015083,0,0.0
789212883,1,1.0
718677858,0,1e-04
713675658,0,1e-04
719523108,0,1e-04
708390633,0,1e-04
715098333,0,0.0
712060158,0,0.0
716831508,0,0.0012
778172583,0,1e-04
789430083,0,0.0
709996833,1,0.9975
708890133,0,0.0002
773332908,0,0.0
715870758,0,1e-04
789363408,0,0.0
779118708,0,0.0
710544033,0,0.0
717500133,0,0.0
712046808,1,0.9966
815484783,0,0.0
713843283,0,0.0
717260058,0,0.0002
773383158,0,1e-04
711041508,0,0.0
816843933,0,0.0
715043508,0,0.0
717241233,0,0.0
717521508,0,0.0
708331758,0,1e-04
715571583,0,0.0
711146358,0,0.0003
789594108,0,1e-04
779327733,0,0.0
711391308,0,0.0
718994583,0,0.0003
718212633,0,0.0
711861258,0,0.0003
718123608,0,0.0
718958583,1,0.994
772207683,0,1e-04
719629308,1,0.8841
708303108,0,0.0004
788957358,0,0.0
708727983,0,0.0006
714217908,0,0.0021
708928908,0,0.0012
712411908,0,0.0
771075258,0,1e-04
717866133,0,0.0
713652783,0,0.0028
714076683,1,1.0
803963808,0,0.0002
778968408,0,0.0
720064158,0,0.0
778921908,0,0.0
770878458,0,0.0
786087633,0,1e-04
788752833,0,1e-04
766006758,0,1e-04
710342508,0,0.0
711422358,0,1e-04
778574283,0,0.0
709987683,1,1.0
821168733,0,0.0
717765183,0,0.0
708723858,0,0.0
720618033,0,1e-04
718899708,0,1e-04
716437533,0,0.0003
717491058,0,0.0002
711029358,0,0.0006
716768808,0,0.0
801056358,0,0.0
779210283,0,0.0
718441308,0,0.0
713241033,0,0.0002
711064008,0,0.0005
772137183,1,0.9998
788739633,1,0.9984
708953883,1,1.0
716549058,0,0.0
824789283,0,0.0
788252358,0,0.0
819752133,0,0.0
716944983,0,0.0011
716545383,0,1e-04
720836808,0,0.0
783361533,0,0.0
710893533,0,0.0008
709793133,0,0.0003
716609433,1,0.9994
715222533,1,0.9996
713597658,1,0.9956
720837708,0,1e-04
786546783,0,0.0073
778747608,0,1e-04
801385458,0,0.0
720844008,0,0.0
754443033,1,0.9997
799486158,0,0.0
798140283,0,0.0006
772036233,0,0.0003
711427458,0,0.0712
712727283,0,0.0
710754933,1,0.9999
709938708,0,0.0
710831133,0,0.0005
715570533,1,0.9999
794576058,0,0.0
786557358,0,0.0
708212658,0,0.0
818993508,0,0.0
718466883,0,0.0
717085983,0,1e-04
709986633,0,0.0
779348358,1,0.9999
752944533,0,0.0018
712340733,0,1e-04
814459833,0,0.002
718373658,0,0.0
771359958,0,1e-04
779198133,0,0.0
788618208,0,1e-04
712288158,0,0.0003
711838008,1,0.999
710202783,0,0.0
771976683,0,0.001
716176683,0,1e-04
711278283,0,0.0002
715019883,0,0.0002
720292983,0,0.0
716498883,0,1e-04
713798958,0,1e-04
716939358,0,1e-04
709005633,1,0.9998
795573333,0,0.0
771069033,0,0.0
801709308,0,0.0
716345283,0,1e-04
714835833,0,0.0
779783508,0,0.0
825767658,0,0.0
717575958,1,0.9997
720753183,0,1e-04
711766758,0,0.0
711397533,0,0.0
767058183,0,1e-04
788864508,0,1e-04
778377183,0,1e-04
710844408,0,1e-04
714919308,1,1.0
708874533,1,1.0
778356408,0,0.0
769035933,0,0.0
771228183,0,0.0
772539558,0,0.0002
714045783,1,1.0
809797158,0,0.0002
719531133,0,0.001
719192808,0,0.0
720662508,0,1e-04
820848408,0,0.0
